,cena,czynsz,forma_wlasnosci,liczba_pieter,liczba_pokoi,material_budynku,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rynek,stan_wykonczenia,wiek
895,333692.0,350.0,pelna_wlasnosc,5,3,pustak,miejskie,plastikowe,0.0,52.55,apartamentowiec,pierwotny,do_wykonczenia,0
896,239540.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,41.3,apartamentowiec,pierwotny,do_wykonczenia,0
897,285381.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,51.42,apartamentowiec,pierwotny,do_wykonczenia,0
898,281460.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,46.91,apartamentowiec,pierwotny,do_wykonczenia,0
899,292194.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,4.0,46.38,apartamentowiec,pierwotny,do_wykonczenia,0
900,248992.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,40.16,apartamentowiec,pierwotny,do_wykonczenia,0
901,293886.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,50.67,apartamentowiec,pierwotny,do_wykonczenia,0
902,335673.0,350.0,pelna_wlasnosc,2,3,pustak,miejskie,plastikowe,0.0,58.89,blok,pierwotny,do_wykonczenia,0
903,259782.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,44.79,apartamentowiec,pierwotny,do_wykonczenia,0
904,271320.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,45.22,apartamentowiec,pierwotny,do_wykonczenia,0
905,370000.0,500.0,pelna_wlasnosc,14,3,beton,miejskie,plastikowe,11.0,59.0,blok,wtorny,do_zamieszkania,39
906,240064.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,38.72,apartamentowiec,pierwotny,do_wykonczenia,0
